aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
410	410	491	576	0	191	222	0	2	3200
411	411	133	203	0	42	52	0	0	3200
412	412	293	388	0	102	119	0	1	3200
413	413	693	1053	0	261	364	0	4	1921
414	414	439	696	0	133	228	0	3	2010
415	415	473	598	0	163	222	0	3	2014
416	416	230	382	0	52	91	0	2	1257
417	417	289	437	0	82	118	0	1	774
418	418	131	261	0	36	60	0	1	1874
419	419	264	411	0	72	122	0	1	1874
420	420	78	125	0	18	36	0	0	3728
421	421	244	372	0	70	120	0	1	3728
422	422	92	122	0	23	35	0	1	3200
423	423	401	518	0	130	172	0	0	1599
424	424	267	356	0	72	105	0	3	3728
425	425	507	1052	0	185	392	0	0	3728
426	426	191	277	0	49	81	0	0	3728
427	427	338	430	0	98	135	0	2	3200
428	428	474	677	0	154	235	0	0	3274
429	429	646	755	0	251	301	0	1	3274
430	430	351	498	0	123	173	0	4	2085
431	431	976	1404	0	370	525	0	4	1326
432	432	823	1204	0	313	454	0	3	2014
433	433	181	299	0	35	78	0	1	2014
434	434	234	279	0	60	79	0	0	3274
435	435	651	868	0	262	351	0	3	3000
436	436	737	1504	0	228	492	0	10	634
437	437	414	511	0	122	168	0	1	755
438	438	167	583	0	50	231	0	1	1326
439	439	638	1180	0	242	473	0	1	3000
440	440	241	241	0	62	81	0	2	2010
441	441	1735	2597	0	704	1001	0	9	1785
442	442	104	173	0	15	39	0	1	1667
443	443	220	355	0	51	106	0	1	1809
444	444	451	734	0	134	248	0	8	1874
445	445	399	747	0	113	295	0	2	862
446	446	332	490	0	97	151	0	2	1572
447	447	1465	2230	0	644	950	0	96	1599
448	448	389	1206	0	109	454	0	8	2085
449	449	834	1138	0	324	436	0	9	2085
450	450	494	684	0	146	218	0	6	2010
451	451	508	798	0	153	258	0	6	2085
452	452	2403	3215	0	1066	1355	0	11	1572
453	453	394	570	0	112	183	0	3	1599
454	454	1227	1914	0	483	761	0	13	2085
455	455	286	563	0	76	176	0	2	1874
456	456	390	671	0	118	210	0	2	1253
457	457	765	1150	0	293	424	0	6	1253
458	458	685	1271	0	209	483	0	8	1874
459	459	951	1434	0	369	536	0	8	1874
460	460	380	509	0	117	157	0	1	2085
461	461	613	829	0	208	283	0	7	1289
462	462	1697	2055	0	722	872	0	46	1785
463	463	870	1295	0	320	465	0	15	2010
464	464	168	242	0	54	71	0	1	2010
465	465	511	731	0	180	267	0	2	2010
466	466	795	939	0	285	352	0	1	2178
467	467	439	783	0	165	273	0	4	2010
468	468	244	282	0	64	85	0	3	2010
469	469	1046	1453	0	421	574	0	6	2178
470	470	379	501	0	114	173	0	1	2178
471	471	614	836	0	227	303	0	7	2085
472	472	410	582	0	132	203	0	7	2010
473	473	883	1326	0	345	455	0	4	1572
474	474	1222	1843	0	481	710	0	10	1257
475	475	1594	2328	0	637	892	0	14	3000
476	476	807	1155	0	305	408	0	9	1572
477	477	1426	2251	0	554	838	0	8	2178
478	478	723	979	0	262	350	0	5	2085
479	479	556	747	0	217	278	0	3	1874
480	480	579	771	0	213	285	0	3	1874
481	481	1121	1413	0	426	561	0	5	2010
482	482	796	1432	0	286	492	0	10	3000
483	483	615	645	0	151	246	0	2	2010
484	484	679	962	0	232	327	0	7	2085
485	485	1761	2524	0	767	1022	0	14	1785
486	486	545	838	0	173	276	0	10	1599
487	487	491	734	0	157	256	0	4	774
488	488	1120	1601	0	463	645	0	9	1874
489	489	733	1038	0	241	367	0	3	780
490	490	496	846	0	170	278	0	10	736
491	491	548	755	0	193	273	0	4	774
492	492	477	581	0	139	198	0	1	2010
493	493	299	444	0	105	141	0	2	2085
494	494	926	1789	0	343	667	0	17	1257
495	495	569	708	0	220	266	0	2	1874
496	496	1917	2312	0	843	1006	0	9	774
497	497	326	435	0	111	141	0	3	3274
498	498	804	1092	0	291	414	0	5	1601
499	499	30933	31536	0	15320	15476	0	2	1159
500	500	67268	68625	0	32158	32978	0	3	1887
501	501	659	918	0	245	339	0	7	1887
502	502	426	533	0	168	221	0	1	1887
503	503	3700	3935	0	1999	2068	0	0	1887
504	504	974	1180	0	516	561	0	0	1887
505	505	619	793	0	288	333	0	0	2010
506	506	2040	2248	0	1135	1182	0	0	1887
507	507	136	291	0	41	84	0	0	1887
508	508	941	1175	0	403	480	0	5	1887
509	509	843	1020	0	408	444	0	0	1887
