aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
680	680	103	220	0	26	51	0	1	593
681	681	239	548	0	54	172	0	1	963
682	682	104	136	0	15	26	0	0	2118
683	683	191	457	0	44	129	0	6	723
684	684	157	287	0	44	74	0	3	2118
685	685	174	253	0	53	70	0	1	1310
686	686	389	1026	0	105	372	0	5	723
687	687	193	489	0	59	125	0	3	1248
688	688	515	1276	0	163	443	0	3	2118
689	689	410	1162	0	134	424	0	3	2118
690	690	313	795	0	87	292	0	3	1248
691	691	285	451	0	79	140	0	2	889
692	692	118	422	0	31	150	0	3	2118
693	693	270	947	0	63	192	0	1	2197
694	694	213	493	0	50	142	0	0	1621
695	695	559	1130	0	174	422	0	19	486
696	696	262	530	0	64	163	0	2	2197
697	697	170	354	0	37	97	0	3	723
698	698	230	522	0	58	162	0	0	2118
699	699	192	356	0	45	109	0	4	1196
700	700	309	660	0	90	201	0	6	490
701	701	303	540	0	85	177	0	7	2197
702	702	604	859	0	200	328	0	5	963
703	703	405	609	0	122	209	0	5	963
704	704	128	120	8	23	32	0	0	1779
705	705	182	282	0	41	74	0	3	1779
706	706	206	352	0	47	104	0	0	2118
707	707	121	310	0	32	72	0	2	663
708	708	91	144	0	22	29	0	0	1779
709	709	218	351	0	55	103	0	3	753
710	710	194	279	0	45	75	0	1	1779
711	711	197	282	0	37	94	0	0	1779
712	712	135	200	0	26	45	0	1	1779
713	713	136	260	0	38	64	0	2	829
714	714	236	351	0	59	107	0	3	753
715	715	179	242	0	42	65	0	2	1779
716	716	188	305	0	38	79	0	4	1897
717	717	298	721	0	79	218	0	6	806
718	718	210	469	0	48	133	0	3	1165
719	719	345	674	0	97	232	0	4	2197
720	720	198	391	0	38	125	0	0	1283
721	721	322	645	0	102	225	0	2	1294
722	722	224	477	0	52	125	0	2	963
723	723	133	140	0	25	39	0	0	636
724	724	198	378	0	47	95	0	4	474
725	725	276	816	0	78	203	0	4	754
726	726	337	580	0	96	187	0	4	668
727	727	274	421	0	68	129	0	3	665
728	728	301	629	0	82	188	0	4	814
729	729	358	630	0	101	196	0	2	1235
730	730	142	321	0	39	92	0	2	2118
731	731	106	163	0	27	35	0	0	1034
732	732	64	69	0	13	15	0	0	1779
733	733	44	43	1	7	7	0	1	4
734	734	140	186	0	27	37	0	0	1895
735	735	85	136	0	20	26	0	1	1897
736	736	73	133	0	16	25	0	0	1779
737	737	219	236	0	51	62	0	1	665
738	738	10068	10069	0	4649	4665	0	0	670
739	739	475	559	0	227	235	0	0	669
740	740	92	144	0	23	27	0	0	669
741	741	133	235	0	36	53	0	1	1034
742	742	101	81	20	14	19	0	1	1454
743	743	167	173	0	64	64	0	0	2118
744	744	64	72	0	13	16	0	0	154
745	745	34	33	1	3	3	0	0	4
746	746	280	460	0	72	142	0	0	660
747	747	107	81	26	16	19	0	0	1233
748	748	58	63	0	11	13	0	0	1779
749	749	106	154	0	27	29	0	0	2118
750	750	73	93	0	16	23	0	1	2118
751	751	115	157	0	30	33	0	0	2118
752	752	319	476	0	73	144	0	2	484
753	753	235	392	0	79	125	0	0	1230
754	754	113	147	0	18	41	0	0	474
755	755	205	245	0	49	66	0	2	807
756	756	118	205	0	31	49	0	0	1233
757	757	76	78	0	17	18	0	0	2118
758	758	146	210	0	29	52	0	0	1213
759	759	76	90	0	17	22	0	0	660
760	760	204	305	0	46	76	0	1	1621
761	761	64	63	1	13	13	0	0	11
762	762	383	452	0	127	160	0	0	2118
763	763	326	446	0	123	169	0	1	2118
764	764	70	84	0	15	20	0	0	1895
765	765	150	225	0	44	59	0	1	447
766	766	106	108	0	32	32	0	0	2118
767	767	419	875	0	126	210	0	2	660
768	768	226	361	0	65	118	0	0	853
769	769	112	144	0	29	40	0	1	1454
770	770	98	81	17	13	19	0	1	1454
771	771	374	511	0	111	174	0	11	267
772	772	206	135	71	42	37	0	0	1779
773	773	118	178	0	32	39	0	1	2118
774	774	136	183	0	38	54	0	0	669
775	775	358	472	0	89	156	0	2	222
776	776	185	291	0	46	80	0	0	474
777	777	88	107	0	25	29	0	0	662
778	778	88	95	0	21	25	0	0	1779
779	779	55	57	0	10	11	0	0	1779
780	780	238	363	0	64	109	0	1	665
781	781	269	442	0	79	122	0	0	699
782	782	55	51	4	10	9	0	0	1025
783	783	103	166	0	26	36	0	0	2118
784	784	115	193	0	30	45	0	1	2118
785	785	136	217	0	41	57	0	0	245
786	786	73	139	0	16	28	0	0	1279
787	787	206	388	0	69	106	0	1	1698
788	788	112	152	0	29	45	0	2	963
789	789	55	54	1	10	10	0	0	11
790	790	193	381	0	58	111	0	2	829
791	791	141	157	0	41	47	0	0	1779
792	792	135	183	0	38	40	0	1	1779
793	793	151	218	0	31	48	0	2	674
794	794	111	147	0	30	31	0	1	2118
795	795	118	162	0	20	32	0	2	1909
796	796	98	151	0	25	29	0	1	2118
797	797	97	132	0	24	25	0	0	1621
798	798	126	255	0	34	61	0	0	1234
799	799	94	126	0	23	34	0	0	1454
800	800	67	112	0	14	18	0	0	1454
801	801	127	227	0	37	56	0	0	1895
802	802	122	124	0	22	23	0	0	669
803	803	76	90	0	17	23	0	0	2118
804	804	77	91	0	18	23	0	0	1895
805	805	125	218	0	37	56	0	1	636
806	806	278	503	0	97	183	0	1	1779
807	807	199	259	0	72	79	0	1	2197
808	808	166	235	0	52	65	0	0	662
809	809	183	257	0	42	65	0	0	674
810	810	79	127	0	18	23	0	2	642
811	811	147	165	0	30	37	0	0	1779
812	812	109	142	0	28	28	0	2	935
813	813	227	329	0	61	99	0	0	1909
814	814	211	288	0	49	79	0	0	593
815	815	73	75	0	16	17	0	0	642
816	816	85	90	0	21	23	0	0	1779
817	817	137	118	19	28	34	0	0	106
818	818	202	271	0	50	79	0	1	1111
819	819	78	107	0	18	28	0	0	1779
820	820	489	1054	0	160	401	0	2	699
821	821	99	223	0	25	45	0	1	666
822	822	97	154	0	24	32	0	0	1454
823	823	67	75	0	14	17	0	0	1454
824	824	160	270	0	34	63	0	1	1279
825	825	212	264	0	45	72	0	0	363
826	826	122	124	0	42	42	0	0	2118
827	827	104	92	12	15	23	0	0	660
828	828	55	57	0	10	11	0	0	2118
829	829	257	324	0	63	95	0	3	963
830	830	850	1466	0	375	530	0	8	1897
831	831	158	225	0	36	58	0	0	1233
832	832	126	270	0	34	63	0	1	464
833	833	207	266	0	73	82	0	1	1895
834	834	521	1041	0	184	351	0	7	1213
835	835	461	753	0	161	298	0	1	2118
836	836	196	244	0	63	85	0	4	660
837	837	912	1348	0	359	550	0	15	225
838	838	164	189	0	47	58	0	1	642
839	839	412	647	0	145	208	0	1	660
840	840	91	147	0	22	27	0	1	642
841	841	383	508	0	151	188	0	1	1454
842	842	186	288	0	40	76	0	1	666
843	843	238	383	0	57	115	0	4	292
844	844	280	444	0	79	135	0	1	292
