row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	149	11192	40	0	0	1	41	166982219	358463	465.8283253780725	15828	11352	6155	1538	148	2450860	2975148
pretrained-seed-online-k2	150	746326	402	62	0	1	465	167728545	358928	467.3041529220345	15828	11352	6157	1538	149	2450860	2975148
pretrained-seed-online-k2	151	802893	247	40	0	1	288	168531438	359216	469.16461961605273	15828	11352	6158	1538	150	2450860	2975148
pretrained-seed-online-k2	152	102214	231	31	0	1	263	168633652	359479	469.10571132110636	15828	11352	6160	1538	151	2450860	2975148
pretrained-seed-online-k2	153	1150341	570	24	0	1	595	169783993	360074	471.52527813727175	15828	11352	6161	1538	152	2450860	2975148
pretrained-seed-online-k2	154	1697061	1226	0	0	1	1227	171481054	361301	474.6210334319584	15828	11352	6161	1538	153	2450860	2975148
pretrained-seed-online-k2	155	811031	508	83	0	1	592	172292085	361893	476.0857076539198	15828	11352	6166	1538	154	2450860	2975148
pretrained-seed-online-k2	156	846282	285	97	0	1	383	173138367	362276	477.9184019918515	15828	11352	6172	1538	155	2450860	2975148
pretrained-seed-online-k2	157	851146	194	252	0	1	447	173989513	362723	479.6759869101215	15828	11352	6190	1538	156	2450860	2975148
pretrained-seed-online-k2	158	724853	243	0	0	1	244	174714366	362967	481.3505525295688	15828	11352	6190	1538	157	2450860	2975148
pretrained-seed-online-k2	159	1144269	489	0	0	1	490	175858635	363457	483.84990521574764	15828	11352	6190	1538	158	2450860	2975148
pretrained-seed-online-k2	160	622239	163	0	0	1	164	176480874	363621	485.3429092379153	15828	11352	6190	1538	159	2450860	2975148
pretrained-seed-online-k2	161	1273377	499	0	0	1	500	177754251	364121	488.173576915366	15828	11352	6190	1538	160	2450860	2975148
pretrained-seed-online-k2	162	650986	255	0	0	1	256	178405237	364377	489.61717397091473	15828	11352	6190	1538	161	2450860	2975148
pretrained-seed-online-k2	163	354545	115	190	0	1	306	178759782	364683	490.17854410542856	15828	11352	6200	1538	162	2450860	2975148
pretrained-seed-online-k2	164	1149413	521	23	0	1	545	179909195	365228	492.5942014303394	15828	11352	6202	1538	163	2450860	2975148
pretrained-seed-online-k2	165	1240270	287	0	0	1	288	181149465	365516	495.59927609188105	15828	11352	6202	1538	164	2450860	2975148
pretrained-seed-online-k2	166	1705459	792	0	0	1	793	182854924	366309	499.1821767960929	15828	11352	6202	1538	165	2450860	2975148
pretrained-seed-online-k2	167	1619994	671	0	0	1	672	184474918	366981	502.6824767494775	15828	11352	6202	1538	166	2450860	2975148
pretrained-seed-online-k2	168	1113286	629	323	0	1	953	185588204	367934	504.406235901004	15828	11352	6228	1538	167	2450860	2975148
pretrained-seed-online-k2	169	17188	84	27	0	1	112	185605392	368046	504.2994408307657	15828	11352	6230	1538	168	2450860	2975148
pretrained-seed-online-k2	170	803111	488	111	0	1	600	186408503	368646	505.65719687722094	15828	11352	6243	1538	169	2450860	2975148
pretrained-seed-online-k2	171	898645	399	385	0	1	785	187307148	369431	507.0152423591956	15828	11352	6273	1542	170	2450860	2975148
pretrained-seed-online-k2	172	1082936	318	47	0	1	366	188390084	369797	509.44189379578523	15828	11352	6277	1542	171	2450860	2975148
pretrained-seed-online-k2	173	810229	186	0	0	1	187	189200313	369984	511.3743107810067	15828	11352	6277	1542	172	2450860	2975148
pretrained-seed-online-k2	174	763024	264	32	0	1	297	189963337	370281	513.024802784912	15828	11352	6279	1542	173	2450860	2975148
pretrained-seed-online-k2	175	5297	234	0	0	1	235	189968634	370516	512.7137127681395	15828	11352	6279	1542	174	2450860	2975148
pretrained-seed-online-k2	176	921806	392	0	0	1	393	190890440	370909	514.6557241803246	15828	11352	6279	1542	175	2450860	2975148
pretrained-seed-online-k2	177	1507436	1794	126	0	1	1921	192397876	372830	516.0471957728723	15828	11352	6297	1549	176	2450860	2975148
pretrained-seed-online-k2	178	610513	509	0	0	1	510	193008389	373340	516.9775245084909	15828	11352	6297	1549	177	2450860	2975148
pretrained-seed-online-k2	179	58777	290	76	0	1	367	193067166	373707	516.6271062623928	15828	11352	6304	1552	178	2450860	2975148
pretrained-seed-online-k2	180	915518	483	249	0	1	733	193982684	374440	518.0607947868817	15828	11352	6329	1552	179	2450860	2975148
pretrained-seed-online-k2	181	1425503	524	62	0	1	587	195408187	375027	521.050982995891	15828	11352	6331	1552	180	2450860	2975148
pretrained-seed-online-k2	182	1084107	465	371	0	1	837	196492294	375864	522.7749771193836	15828	11352	6364	1552	181	2450860	2975148
pretrained-seed-online-k2	183	622851	278	0	0	1	279	197115145	376143	524.0431032878453	15828	11352	6364	1552	182	2450860	2975148
pretrained-seed-online-k2	184	1127345	391	0	0	1	392	198242490	376535	526.4915346514932	15828	11352	6364	1552	183	2450860	2975148
pretrained-seed-online-k2	185	650272	229	19	0	1	249	198892762	376784	527.8694477472504	15828	11352	6365	1552	184	2450860	2975148
pretrained-seed-online-k2	186	904019	454	19	0	1	474	199796781	377258	529.6025027964947	15828	11352	6366	1552	185	2450860	2975148
pretrained-seed-online-k2	187	820648	431	83	0	1	515	200617429	377773	531.0528518448909	15828	11352	6368	1553	186	2450860	2975148
pretrained-seed-online-k2	188	578728	383	0	0	1	384	201196157	378157	532.0439843768594	15828	11352	6368	1553	187	2450860	2975148
pretrained-seed-online-k2	189	11130	40	0	0	1	41	201207287	378198	532.0157351440251	15828	11352	6368	1553	188	2450860	2975148
pretrained-seed-online-k2	190	1499149	1947	42	0	1	1990	202706436	380188	533.1742085494545	15828	11352	6372	1553	189	2450860	2975148
pretrained-seed-online-k2	191	1435923	1476	62	0	1	1539	204142359	381727	534.7862713405129	15828	11352	6377	1553	190	2450860	2975148
pretrained-seed-online-k2	192	1456269	450	19	0	1	470	205598628	382197	537.9388849206038	15828	11352	6378	1553	191	2450860	2975148
pretrained-seed-online-k2	193	1057213	373	0	0	1	374	206655841	382571	540.1764404515764	15828	11352	6378	1553	192	2450860	2975148
pretrained-seed-online-k2	194	1769936	1386	90	0	1	1477	208425777	384048	542.7076224846894	15828	11352	6390	1553	193	2450860	2975148
pretrained-seed-online-k2	195	664725	313	52	0	1	366	209090502	384414	543.9201017652844	15828	11352	6397	1553	194	2450860	2975148
pretrained-seed-online-k2	196	355364	79	0	0	1	80	209445866	384494	544.7311687568597	15828	11352	6397	1553	195	2450860	2975148
