tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
295	4790233	1723025274	0	0	2703	7366501	2738	7430403	-7430403	-63902	1	80150022
296	2959091	1725984365	0	0	2497	7368998	2666	7433069	-7433069	-64071	1	80165260
297	4953678	1730938043	0	0	9800	7378798	10565	7443634	-7443634	-64836	1	80226225
298	2762454	1733700497	0	0	2037	7380835	1896	7445530	-7445530	-64695	1	80241096
299	4868556	1738569053	0	0	14122	7394957	14746	7460276	-7460276	-65319	1	80337227
300	3903419	1742472472	0	0	7062	7402019	7157	7467433	-7467433	-65414	1	80378861
301	4135360	1746607832	0	0	5168	7407187	5805	7473238	-7473238	-66051	1	80426386
302	5882551	1752490383	0	0	4521	7411708	4422	7477660	-7477660	-65952	1	80448962
303	5443859	1757934242	0	0	4920	7416628	5199	7482859	-7482859	-66231	1	80475949
304	5008871	1762943113	0	0	7525	7424153	7345	7490204	-7490204	-66051	1	80521544
305	5871764	1768814877	0	0	2635	7426788	2685	7492889	-7492889	-66101	1	80533512
306	4777291	1773592168	0	0	1097	7427885	1090	7493979	-7493979	-66094	1	80537543
307	5146678	1778738846	0	0	6482	7434367	6539	7500518	-7500518	-66151	1	80577428
308	4879129	1783617975	0	0	1834	7436201	1948	7502466	-7502466	-66265	1	80588027
309	4776027	1788394002	0	0	816	7437017	838	7503304	-7503304	-66287	1	80591830
310	4890409	1793284411	0	0	2021	7439038	2109	7505413	-7505413	-66375	1	80603275
311	6223350	1799507761	0	0	4018	7443056	3850	7509263	-7509263	-66207	1	80625438
312	5464646	1804972407	0	0	6453	7449509	6246	7515509	-7515509	-66000	1	80669054
313	3060566	1808032973	0	0	2780	7452289	2612	7518121	-7518121	-65832	1	80681795
314	2764159	1810797132	0	0	781	7453070	836	7518957	-7518957	-65887	1	80684871
315	2688594	1813485726	0	0	1376	7454446	1430	7520387	-7520387	-65941	1	80690163
316	2746662	1816232388	0	0	1808	7456254	1939	7522326	-7522326	-66072	1	80697724
317	4419842	1820652230	0	0	742	7456996	712	7523038	-7523038	-66042	1	80699244
318	3699041	1824351271	0	0	1227	7458223	1199	7524237	-7524237	-66014	1	80705124
319	1813053	1826164324	0	0	429	7458652	418	7524655	-7524655	-66003	1	80706535
320	2995534	1829159858	0	0	742	7459394	756	7525411	-7525411	-66017	1	80709569
321	2495289	1831655147	0	0	930	7460324	941	7526352	-7526352	-66028	1	80713650
322	5674993	1837330140	0	0	7188	7467512	7126	7533478	-7533478	-65966	1	80757124
323	5650380	1842980520	0	0	2706	7470218	2775	7536253	-7536253	-66035	1	80775399
324	5702369	1848682889	0	0	3902	7474120	3993	7540246	-7540246	-66126	1	80801782
325	5621402	1854304291	0	0	2731	7476851	2917	7543163	-7543163	-66312	1	80816349
326	5620265	1859924556	0	0	3282	7480133	3333	7546496	-7546496	-66363	1	80841199
327	6211341	1866135897	0	0	1679	7481812	1621	7548117	-7548117	-66305	1	80849299
328	2648101	1868783998	0	0	2786	7484598	3089	7551206	-7551206	-66608	1	80861198
329	2321525	1871105523	0	0	1696	7486294	1807	7553013	-7553013	-66719	1	80868961
